編號,車號,進廠日期,進廠時間,出廠日期,出廠時間,客戶,品名,料號,重量,總重,過磅員,序號,過磅方式,卡號,進貨
60541,KEA-9701,20250224,100031,20250224,102152,桃園區中隊,,巨大傢俱,20660,30570,八德區清潔隊,22,,,-1
60542,893-S5,20250224,100643,20250224,102453,八德區清潔隊,,,4070,5040,八德區清潔隊,23,*,0000048408,-1
60543,KEK-2001,20250224,101820,20250224,102705,八德區清潔隊,,,4250,5210,八德區清潔隊,24,,0000020547,-1
60544,KEK-2002,20250224,102646,20250224,103339,八德區清潔隊,黑包組,,4210,5030,八德區清潔隊,25,*,0000020548,-1
60545,905-S5,20250224,102839,20250224,103521,八德區清潔隊,黑包組,,5160,6320,八德區清潔隊,26,*,0000020516,-1
60546,KEG-3097,20250224,102618,20250224,103538,桃園區中隊,,桃園中隊(廢傢俱),4560,5620,八德區清潔隊,27,,,-1
60547,ALG-3392,20250224,103323,20250224,103946,中壢區中隊,,彈簧床,2660,3070,八德區清潔隊,28,,,-1
60548,KEA-8000,20250224,103416,20250224,104021,八德區清潔隊,,,4110,4420,八德區清潔隊,29,*,0000047602,-1
60549,292-VM,20250224,102817,20250224,104101,桃園區中隊,,桃園中隊(廢傢俱),12010,14710,八德區清潔隊,30,,,-1
60550,KEP-3203,20250224,103922,20250224,104415,平鎮區中隊,,彈簧床,5210,5870,八德區清潔隊,31,,,-1
60551,KEK-3326,20250224,104240,20250224,104824,八德區清潔隊,抓斗車,,9180,10690,八德區清潔隊,32,*,0000020553,-1
60552,KEA-9816,20250224,103456,20250224,104915,八德區清潔隊,,,4330,5310,八德區清潔隊,33,*,0000020730,-1
60553,KED-0158,20250224,104350,20250224,105124,八德區清潔隊,,,4300,4800,八德區清潔隊,34,,0000047524,-1
60554,KEA-7025,20250224,104604,20250224,105208,八德區清潔隊,,,4740,5360,八德區清潔隊,35,,0000020540,-1
60555,KES-5991,20250224,104329,20250224,105233,蘆竹區中隊,抓斗車,彈簧床,9700,11050,八德區清潔隊,36,,,-1
60556,KEG-3362,20250224,105422,20250224,105744,楊梅區中隊,,彈簧床,4920,5490,八德區清潔隊,37,,,-1
60557,KEQ-9210,20250224,105457,20250224,110000,中壢區中隊,,彈簧床,5040,5600,八德區清潔隊,38,,,-1
60558,302-VN,20250224,105101,20250224,110109,八德區清潔隊,,,4520,5430,八德區清潔隊,39,,0000020535,-1
60559,125-VN,20250224,105629,20250224,110507,桃園區中隊,抓斗車,桃園中隊(廢傢俱),8370,10130,八德區清潔隊,40,,,-1
60560,449-S3,20250224,110017,20250224,110756,桃園區中隊,,桃園中隊(廢傢俱),4380,5390,八德區清潔隊,41,,,-1
60561,KEC-2663,20250224,112016,20250224,112459,八德區清潔隊,社區定點,,8170,12250,八德區清潔隊,42,*,0000020597,-1
60562,KEQ-5053,20250224,111505,20250224,113010,桃園區中隊,抓斗車,桃園中隊(廢傢俱),9200,12110,八德區清潔隊,43,,,-1
60563,KEA-9810,20250224,112307,20250224,113038,桃園區中隊,,桃園中隊(廢傢俱),4270,5460,八德區清潔隊,44,,,-1
60564,680-S5,20250224,111443,20250224,113312,桃園區中隊,抓斗車,桃園中隊(廢傢俱),8870,11540,八德區清潔隊,45,,,-1
60565,KEP-2602/預備車,20250224,112949,20250224,113455,八德區垃圾車,壓6,,10340,14150,八德區清潔隊,46,*,0000020785,-1
60566,681-S5,20250224,113153,20250224,114019,桃園區中隊,抓斗車,桃園中隊(廢傢俱),11230,14790,八德區清潔隊,47,,,-1
60567,KEA-9807,20250224,114926,20250224,115537,桃園區中隊,,桃園中隊(廢傢俱),4350,5600,八德區清潔隊,48,,,-1
60568,KEA-9701,20250224,114336,20250224,120736,桃園區中隊,,巨大傢俱,20600,29280,八德區清潔隊,48,#,,-1
